timestamp,local_timestamp,exchange,symbol,ask_1_price,ask_1_qty,ask_2_price,ask_2_qty,ask_3_price,ask_3_qty,ask_4_price,ask_4_qty,ask_5_price,ask_5_qty,ask_6_price,ask_6_qty,ask_7_price,ask_7_qty,ask_8_price,ask_8_qty,ask_9_price,ask_9_qty,ask_10_price,ask_10_qty,bid_1_price,bid_1_qty,bid_2_price,bid_2_qty,bid_3_price,bid_3_qty,bid_4_price,bid_4_qty,bid_5_price,bid_5_qty,bid_6_price,bid_6_qty,bid_7_price,bid_7_qty,bid_8_price,bid_8_qty,bid_9_price,bid_9_qty,bid_10_price,bid_10_qty
1715176703737,1715176703879,BINANCE,ETHUSDT,3031.49,79.265,3031.55,0.864,3031.65,1.979,3031.66,17.113,3031.67,1.199,3031.7,0.007,3031.76,10.013,3031.79,1.665,3031.8,0.017,3031.82,1.401,3031.48,2.515,3031.46,0.009,3031.41,0.007,3031.34,0.049,3031.32,20.386,3031.31,0.009,3031.3,4.921,3031.27,0.007,3031.26,13.217,3031.25,0.106
1715176703744,1715176703880,BINANCE,BNBUSDT,585.57,2.02,585.58,0.57,585.59,6.57,585.6,7.37,585.61,0.69,585.62,0.6,585.63,1.74,585.64,1.46,585.65,0.04,585.66,1.02,585.56,23.16,585.55,11.06,585.54,2.34,585.53,0.75,585.52,26.26,585.51,32.42,585.5,22.33,585.49,11.8,585.48,55.63,585.47,0.02
1715176703945,1715176703982,BINANCE,SOLUSDT,147.613,83,147.614,11,147.616,29,147.618,15,147.619,1,147.62,17,147.621,15,147.622,1,147.623,1,147.625,3,147.612,5,147.608,3,147.607,4,147.604,13,147.603,10,147.601,4,147.6,3,147.598,1,147.597,3,147.596,3
1715176703990,1715176703983,BINANCE,ETHUSDT,3031.26,68.341,3031.31,0.998,3031.5,0.007,3031.61,0.1,3031.62,4.61,3031.63,9.424,3031.65,0.263,3031.66,0.084,3031.69,0.225,3031.7,0.007,3031.25,4.487,3031.2,1.38,3031.16,0.009,3031.12,2,3031.11,0.007,3031.09,3.181,3031.04,0.007,3031.03,0.007,3031.02,2.733,3031.01,0.234
1715176704000,1715176703985,BINANCE,BNBUSDT,585.57,5.11,585.58,1.26,585.59,6.57,585.6,7.37,585.61,0.69,585.62,0.6,585.63,1.74,585.64,1.46,585.65,0.04,585.66,1.02,585.56,13.98,585.55,8.18,585.54,2.34,585.52,26.26,585.51,38.15,585.5,18.68,585.49,0.75,585.48,0.6,585.47,0.02,585.46,15.44
1715176704218,1715176704204,BINANCE,SOLUSDT,147.613,35,147.614,11,147.618,15,147.619,1,147.62,17,147.621,15,147.622,1,147.623,1,147.626,20,147.627,4,147.612,72,147.61,1,147.608,3,147.607,4,147.605,10,147.604,4,147.601,14,147.6,3,147.599,1,147.598,1
1715176704252,1715176704238,BINANCE,ETHUSDT,3031.26,46.312,3031.5,0.007,3031.61,0.009,3031.62,4.61,3031.63,9.424,3031.65,0.263,3031.69,0.225,3031.7,0.007,3031.72,0.261,3031.73,0.565,3031.25,36.027,3031.23,0.11,3031.22,0.008,3031.2,2.906,3031.16,0.009,3031.12,2,3031.11,0.007,3031.09,3.181,3031.04,0.007,3031.03,0.007
1715176704257,1715176704240,BINANCE,BNBUSDT,585.57,3.82,585.58,0.57,585.59,2.4,585.6,5.25,585.62,0.6,585.63,1.74,585.64,1.48,585.65,0.04,585.66,1.02,585.67,2.51,585.56,14.48,585.55,8.18,585.54,2.34,585.52,26.26,585.51,38.15,585.5,18.68,585.49,0.75,585.48,55.63,585.47,11.88,585.46,1.31
1715176704476,1715176704462,BINANCE,SOLUSDT,147.613,48,147.614,11,147.616,28,147.618,15,147.619,1,147.62,17,147.621,15,147.622,1,147.623,1,147.625,10,147.612,81,147.61,1,147.608,3,147.607,4,147.606,1,147.604,14,147.603,1,147.601,14,147.6,3,147.599,1
1715176704506,1715176704491,BINANCE,ETHUSDT,3031.26,64.288,3031.5,0.007,3031.61,0.009,3031.62,4.61,3031.63,9.424,3031.65,0.263,3031.69,0.125,3031.7,0.007,3031.72,0.261,3031.73,0.565,3031.25,30.377,3031.23,0.11,3031.22,0.008,3031.2,2.906,3031.16,0.009,3031.12,2,3031.11,0.007,3031.1,4.5,3031.09,3.288,3031.05,219.371
