timestamp,local_timestamp,exchange,symbol,ask_1_price,ask_1_qty,ask_2_price,ask_2_qty,ask_3_price,ask_3_qty,ask_4_price,ask_4_qty,ask_5_price,ask_5_qty,ask_6_price,ask_6_qty,ask_7_price,ask_7_qty,ask_8_price,ask_8_qty,ask_9_price,ask_9_qty,ask_10_price,ask_10_qty,bid_1_price,bid_1_qty,bid_2_price,bid_2_qty,bid_3_price,bid_3_qty,bid_4_price,bid_4_qty,bid_5_price,bid_5_qty,bid_6_price,bid_6_qty,bid_7_price,bid_7_qty,bid_8_price,bid_8_qty,bid_9_price,bid_9_qty,bid_10_price,bid_10_qty
1715176714529,1715176714556,GATE,SOLUSDT,147.528,5,147.531,12,147.539,23,147.542,17,147.555,5,147.556,13,147.558,5,147.559,5,147.563,9,147.564,13,147.527,4,147.524,4,147.514,2,147.513,3,147.508,3,147.506,4,147.503,4,147.5,22,147.498,20,147.495,16
1715176714563,1715176714561,GATE,BNBUSDT,586,0.579,586.05,3.636,586.1,0.134,586.15,4.055,586.2,6.917,586.25,6.913,586.3,8.955,586.35,8.467,586.4,15.598,586.45,12.822,585.95,8.085,585.9,8.398,585.85,6.882,585.8,8.804,585.75,16.45,585.7,14.771,585.65,10.712,585.6,16.577,585.55,17.951,585.5,20.21
1715176714590,1715176714584,GATE,ETHUSDT,3031,37.51,3031.15,7.2,3031.2,6.97,3031.25,9.03,3031.3,1.66,3031.35,0.63,3031.45,12.92,3031.5,22.36,3031.55,0.08,3031.6,0.45,3030.95,34.57,3030.9,6.68,3030.65,2.11,3030.55,15.67,3030.5,10.22,3030.45,16.78,3030.4,25.45,3030.35,0.3,3030.3,28.91,3030.25,61.8
1715176714629,1715176714652,GATE,SOLUSDT,147.528,5,147.531,12,147.541,14,147.542,17,147.555,5,147.556,13,147.558,5,147.559,5,147.563,9,147.564,13,147.527,4,147.524,4,147.514,2,147.513,3,147.508,3,147.506,4,147.503,4,147.5,22,147.498,20,147.495,16
1715176714573,1715176714657,GATE,BNBUSDT,586,0.579,586.05,3.636,586.1,0.134,586.15,4.055,586.2,6.917,586.25,6.913,586.3,8.955,586.35,8.467,586.4,15.598,586.45,12.822,585.95,8.085,585.9,8.398,585.85,6.882,585.8,8.804,585.75,16.45,585.7,14.771,585.65,10.712,585.6,16.577,585.55,17.951,585.5,20.21
1715176714699,1715176714692,GATE,ETHUSDT,3031,22.74,3031.15,7.2,3031.2,6.97,3031.25,9.03,3031.3,1.66,3031.35,0.63,3031.45,12.92,3031.5,22.36,3031.55,0.08,3031.6,0.45,3030.95,40.59,3030.9,6.68,3030.85,0.66,3030.75,6.16,3030.7,0.1,3030.65,2.11,3030.55,15.67,3030.5,10.22,3030.45,16.68,3030.4,25.45
1715176714698,1715176714760,GATE,BNBUSDT,586,0.579,586.05,3.636,586.1,0.134,586.15,8.555,586.2,6.917,586.25,6.913,586.3,8.955,586.35,8.467,586.4,15.598,586.45,12.822,585.95,12.585,585.9,8.398,585.85,6.882,585.8,8.804,585.75,16.45,585.7,14.771,585.65,10.712,585.6,16.577,585.55,17.951,585.5,20.21
1715176714718,1715176714761,GATE,SOLUSDT,147.528,1,147.531,12,147.541,14,147.542,17,147.555,5,147.556,13,147.558,5,147.559,5,147.563,9,147.564,13,147.527,4,147.525,2,147.524,4,147.517,17,147.513,3,147.508,3,147.506,4,147.503,4,147.5,22,147.498,5
1715176714795,1715176714787,GATE,ETHUSDT,3031,21.79,3031.15,7.2,3031.2,6.97,3031.25,9.03,3031.3,1.66,3031.35,0.63,3031.45,12.92,3031.5,22.37,3031.55,0.08,3031.6,0.45,3030.95,34.97,3030.9,6.68,3030.7,0.13,3030.65,2.11,3030.55,15.67,3030.5,10.22,3030.45,16.65,3030.4,25.45,3030.35,0.3,3030.3,29.41
1715176714849,1715176714856,GATE,SOLUSDT,147.528,5,147.531,12,147.541,14,147.542,17,147.544,11,147.555,5,147.556,13,147.558,5,147.559,5,147.563,9,147.527,4,147.524,4,147.513,3,147.508,3,147.506,4,147.503,4,147.5,11,147.498,5,147.495,16,147.494,7
1715176714830,1715176714863,GATE,BNBUSDT,586,0.579,586.05,3.636,586.1,2.134,586.15,6.555,586.2,6.917,586.25,6.913,586.3,8.955,586.35,8.467,586.4,15.598,586.45,12.822,585.95,6.085,585.9,8.398,585.85,6.882,585.8,8.804,585.75,16.45,585.7,14.771,585.65,10.712,585.6,16.577,585.55,17.951,585.5,20.21
1715176714898,1715176714892,GATE,ETHUSDT,3031,54.49,3031.15,7.2,3031.2,6.97,3031.25,9.05,3031.3,1.66,3031.35,0.63,3031.4,5.5,3031.45,12.92,3031.5,22.36,3031.55,0.08,3030.95,34.79,3030.9,6.68,3030.65,2.11,3030.55,15.67,3030.5,10.27,3030.45,16.68,3030.4,25.64,3030.35,4.44,3030.3,24.44,3030.25,48.29
1715176714912,1715176714962,GATE,BNBUSDT,586,0.579,586.05,3.636,586.1,7.924,586.15,9.716,586.2,6.917,586.25,6.913,586.3,8.955,586.35,8.467,586.4,15.598,586.45,12.822,585.95,6.085,585.9,8.398,585.85,6.882,585.8,8.804,585.75,16.45,585.7,14.771,585.65,10.712,585.6,16.577,585.55,17.951,585.5,20.21
1715176714891,1715176714962,GATE,SOLUSDT,147.528,3,147.531,12,147.541,14,147.542,17,147.544,11,147.555,5,147.556,13,147.558,5,147.559,5,147.563,9,147.527,4,147.524,4,147.513,3,147.508,3,147.506,4,147.503,4,147.5,11,147.498,5,147.495,16,147.494,7
1715176714998,1715176714991,GATE,ETHUSDT,3031,59.99,3031.15,7.2,3031.2,6.97,3031.25,9.05,3031.3,1.66,3031.35,0.63,3031.4,5.5,3031.45,12.92,3031.5,22.37,3031.55,0.08,3030.95,6.29,3030.9,6.68,3030.75,9.5,3030.7,7.92,3030.55,7.14,3030.5,10.22,3030.45,16.78,3030.4,25.64,3030.35,4.44,3030.3,24.44
